Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency,Academic_Engagement,Lifestyle_Score
0.5049415064154527,0.34837540699138664,1.0,0.0,0,-0.01979557715729433,-0.14379992882668732,1.0,1,-1.213934457288018,1.0,2.0,0,2,0.03141133078780467,0,1.0,2.0,1,67,0.6275501564085607,0.4265044937033807,0.0018564382374056717
-0.16282241129609587,-1.3837360532878724,1.0,2.0,0,0.6613991013752177,-1.1161102955380136,1.0,1,0.41145108517868284,2.0,2.0,0,0,1.0011994733813825,0,0.0,1.0,0,61,-0.7132832328587128,-1.2630772728332271,1.1169007504683552
0.6718824858433398,1.5608534291868679,2.0,2.0,1,-0.01979557715729433,1.1063133998021608,2.0,1,0.41145108517868284,2.0,2.0,0,1,1.0011994733813825,0,2.0,2.0,1,74,1.4140725355876875,1.7320904042089427,0.5593785943528805
1.5065873829827754,0.7814032720612014,1.0,2.0,1,0.6613991013752177,1.5924685831578238,2.0,1,-0.40124168605466753,2.0,2.0,0,0,1.0011994733813825,0,1.0,1.0,1,71,1.8429144994734494,1.3480945481778943,1.1169007504683552
-0.16282241129609587,1.0412199911030902,2.0,2.0,1,-0.7009902556898064,-0.6994058526617309,2.0,1,1.2241438564120333,2.0,0.0,0,1,1.0011994733813825,0,0.0,2.0,0,70,0.282978447434848,0.9640986921468475,0.0018564382374056717
-0.16282241129609587,0.6947976990472384,2.0,2.0,1,0.6613991013752177,0.9674119188433998,2.0,1,1.2241438564120333,2.0,2.0,0,2,0.03141133078780467,0,2.0,2.0,1,71,0.14065535025005335,0.6569020073220091,0.5593785943528805
1.5065873829827754,0.34837540699138664,2.0,1.0,1,-0.01979557715729433,-0.4910536312235896,1.0,1,-0.40124168605466753,1.0,2.0,1,1,-0.938376811805773,0,1.0,1.0,1,67,1.5713770114235128,0.9640986921468475,-0.5556657178780692
0.8388234652712269,-0.1712580310923911,1.0,0.0,1,-0.7009902556898064,-1.7411669598524377,2.0,1,-0.40124168605466753,0.0,0.0,0,0,-0.938376811805773,0,1.0,0.0,1,66,0.6612582583733804,0.19610698008475236,-1.113187873993544
-0.49670437015187013,1.2144311371310161,2.0,0.0,0,-0.7009902556898064,0.3423552545289758,0.0,1,-1.213934457288018,2.0,1.0,1,1,-1.9081649543993509,0,0.0,2.0,1,69,0.0020775977280170165,0.7337011785282191,-1.6707100301090188
0.5049415064154527,1.5608534291868679,2.0,2.0,1,0.6613991013752177,-0.2827014097854482,2.0,1,-1.213934457288018,0.0,0.0,0,2,1.9709876159749602,0,1.0,1.0,1,72,1.2305506471125578,1.5016928905903142,1.67442290658383
